# Version = v1.4.2 (~Lv.10)
# Last updated = 2025-09-04

# Item | Minimum Lvl. | Decks | Star Level Production Rates

## Workplace = Kitchen
## card_list = ["Heat Control","Cut","Season","Slow Cook","Ferment","Bake"]
Toast | [] | [4,0,0,1,0]
Spice Bread | [] | [3,0,0,2,0] | [53 , 6 ,11, 29]
Spice Bread | [2,-1,-1,2,-1] | [4,0,0,1] |  [38,  9, 15, 36]
Grape Vinegar | [4,-1,-1,-1,-1] | [4,0,0,2,0] | [57,  8,  4,  6, 22]
Salted Raisin | [2,-1,-1,2,-1] | [3,0,0,1,0]
Salted Dry Fruit | [2,-1,-1,2,-1] | [3,0,0,2,0] | [77 , 5,  1 , 4, 11]
Salted Dry Fruit | [3] | [4,0,0,1,0] | [59,  9,  3,  6, 23]
# Salted Dry Fruit | [4,-1,-1,-1,1] | [4, 0, 0, 0, 1] | [34, 9, 1, 17, 39]
# Salted Dry Fruit | [-1,-1,-1,3,-1] | [4, 0, 0, 1, 0] | [26, 7, 2, 9, 56]
# Salted Dry Fruit | [-1,-1,-1,-1,2] | [4, 0, 0, 0, 1] | [21, 5, 0, 11, 62]
Salted Dry Fruit | [-1,-1,-1,3,2] | [3, 0, 0, 1, 1] | [20, 4, 1, 7, 68]
Spice Dry Fruit | [2,-1,-1,2,-1] | [4,1,0,2,0] | [86,  2,  2,  2,  5]
Spice Dry Fruit | [3] | [4,0,1,2,0] | [65,  4,  5,  6, 20]
Spice Dry Fruit | [-1,-1,-1,-1,1] | [4, 0, 0, 2, 1] | [39, 4, 7, 9, 41]
Shroom Stri-Fry | [] | [4, 0, 0, 1, 1] | [70, 5, 6, 8, 11]
Dried Mushroom | [4] | [4, 0, 0, 1, 0] | [78, 5, 9, 3, 5]
Dried Mushroom | [-1,-1,-1,-1,2] | [4, 0, 0, 0, 1] | [57, 10, 17, 7, 8]
Dried Mushroom | [-1,-1,-1,3,2] | [3, 0, 0, 1, 1] | [47, 6, 12, 8, 28]
Dried Mushroom | [6,-1,-1,-1,-1,-1] | [4, 0, 0, 0, 1, 0] | [26, 6, 16, 7, 45]
Pinkroot Stew | [] | [4, 0, 0, 2, 1] | [55, 7, 5, 15, 18]
# Pinkroot Stew | [5] | [4, 0, 0, 2, 1] | [45, 8, 6, 16, 25]
# Pinkroot Stew | [5,6] | [4, 0, 0, 2, 1] | [45, 8, 6, 16, 25]
# Pinkroot Stew | [6,-1,-1,-1,-1,-1] | [4, 0, 0, 2, 1, 0] | [37, 8, 6, 17, 33]
#[5,6,1,3,2,1]
Odd Sweet | [5,-1,-1,-1,-1,1] | [4, 0, 1, 2, 1, 0] | [51, 7, 8, 14, 21]
#Odd Sweet | [6,-1,-1,-1,-1,1] | [4, 0, 1, 2, 1, 0] | [41, 7, 8, 16, 28]

## Workplace = Ironhoof Forge
## card_list = ["Forge Expert","Forge","Ignite","Heat Up","Charge","Multi-Forge","Reforge"]
Fine Carver | [] | [3,1,0,0,1] | [2, 5, 92]
Wooden Arrow | [] | [3,0,0,0,2] | [20 ,0, 30, 50 ]
Wooden Arrow | [-1,4] | [3,1,0,0,1]| [2, 2, 15, 80 ]
Carved Box | [] | [3,1,0,0,0] | [50, 50,0,0]
Copper Stewpot | [] | [3,0,0,1,1] | [83,  3,  4,  5,  3]
Copper Stewpot | [3] | [4,0,0,0,1]| [42, 13, 13, 15, 17]
Chillguard Armor | [3] | [4,0,0,1,1]  | [86,  8,  4,  2,  0]
Chillguard Armor | [-1,-1,-1,-1,2] | [4,0,0,0,2] | [10, 10,  0, 23, 57]
#Chillguard Armor | [-1,-1,-1,-1,-1,1] | [4, 0, 0, 0, 1, 1] | [7, 1, 2, 2, 88] # 1.4.3
Chillguard Armor | [-1,-1,-1,-1,-1,1] | [4, 0, 0, 0, 0, 2] | [9.1, 0.2, 0.3, 0.9, 89.5]

#Stone Armor | [[-1,-1,-1,-1,2], [-1,-1,-1,2,-1]] | [4,0,0,2,1] | [[72, 14, 7, 7, 0],[84, 9, 5, 2, 0]] # 1.4.3
Stone Armor | [-1,-1,-1,2,-1] | [4, 0, 0, 2, 1] | [84, 9, 5, 2, 0]
#Stone Armor | [-1,-1,-1,2,2] | [4, 0, 0, 2, 1] | [46, 8, 6, 14, 26]
#Stone Armor | [-1,-1,-1,-1,-1,1] | [4, 0, 0, 0, 1, 2] | [6, 1, 1, 3, 89] #1.4.3
Stone Armor | [-1,-1,-1,-1,-1,1] | [4, 0, 0, 0, 1, 2] | [11, 2, 1, 4, 82]
#Stone Armor | [4,-1,-1,3,3,1] | [4, 0, 0, 0, 1, 2] | [9, 2, 1, 3, 85]

Chillguard Stone Armor | [3] | [2, 0, 0, 2, 1, 2] | [57, 8, 7, 11, 17]
#Chillguard Stone Armor | [4] | [2, 0, 0, 2, 1, 2] | [53, 10, 8, 11, 17]
#Chillguard Stone Armor | [-1,-1,-1,3,3,-1] | [2, 0, 0, 2, 1, 2] | [42, 9, 6, 12, 32]
#[2, 0, 0, 2, 1, 2] | [42, 9, 6, 12, 32]
#[3, 0, 0, 1, 1, 2] | [39, 2, 16, 16, 26]
#[2, 0, 0, 1, 2, 2] | [40, 17, 8, 8, 26]
#[4, 0, 0, 0, 1, 2] | [39, 10, 3, 35, 12]
Chillguard Stone Armor | [5,-1,-1,-1,-1,-1,-1] | [4, 0, 0, 0, 1, 2, 0] | [26, 9, 16, 19, 31]

Flameguard Plate | [4,-1,-1,-1,3,-1] | [2, 0, 1, 2, 1, 2] | [57, 20, 5, 15, 2] | Recommend to make "Manor Fountain" to upgrade Charge Lv.3. (推奨:「荘園の噴水」作成でチャージLv.3)
Flameguard Plate | [-1,-1,-1,3,-1,-1] | [3, 0, 0, 2, 1, 2] | [34, 27, 9, 14, 15] |
#Flameguard Plate | [-1,-1,-1,3,-1,-1] | [3, 0, 0, 2, 1, 2] | [34, 27, 9, 14, 15] |1.058 exp_rewards/★1rewards
#Flameguard Plate | [-1,-1,-1,3,-1,-1] | [2, 0, 0, 2, 2, 2] | [47, 17, 10, 9, 17] |1.032 exp_rewards/★1rewards
#Flameguard Plate | [-1,-1,-1,3,-1,-1] | [2, 0, 1, 2, 1, 2] | [47, 19, 9, 7, 17] |1.029 exp_rewards/★1rewards
#[4, 0, 0, 1, 1, 2] | [36, 37, 17, 10, 0]
#[3, 0, 0, 2, 1, 2] | [45, 32, 12, 12, 0]
#[4, 0, 1, 0, 1, 2] | [42, 38, 13, 7, 1]
#[3, 0, 0, 2, 1, 2] | [34, 27, 9, 14, 15] |1.058 rewards/★1
#[2, 0, 0, 2, 2, 2] | [47, 17, 10, 9, 17] |1.032 rewards/★1
#[2, 0, 1, 2, 1, 2] | [47, 19, 9, 7, 17] |1.029 rewards/★1
Flameguard Plate | [5,-1,-1,-1,-1,-1,-1] | [4, 0, 0, 1, 1, 2, 0] | [28, 27, 12, 17, 16]

Fireproof Helm | [-1,-1,-1,-1,-1,-1,1] | [3, 0, 0, 2, 1, 2, 0] | [51, 9, 8, 16, 17]
#Fireproof Helm | [4,5,-1,-1,-1,-1,1] | [3, 0, 0, 2, 1, 2, 0] | [51, 9, 8, 16, 17]
#Fireproof Helm | [5,5,-1,-1,-1,-1,-1] | [3, 0, 0, 2, 1, 2, 0] | [46.7, 6.2, 10.2, 14.5, 22.4]
Firefang Sword | [-1,-1,-1,-1,-1,-1,1] | [3, 0, 0, 2, 1, 2, 0] | [44, 8, 10, 15, 24]
#[5,5,1,3,3,1,1]
Firefang Sword | [5,-1,-1,-1,-1,-1,-1] | [4, 0, 0, 1, 1, 2, 0] | [33, 8, 11, 19, 30]

## Workplace = Alchemy Workshop
